id,name,address,city,state,zip,county,phone,email,website,pastor,masses,lat,lng,ParishName,Year,Rite,MailAddress,MailCity,MailZip,ChurchAddress,ChurchCity,ChurchZip,County2,ParishPhone,ParishEmail,ParishWeb,Pastor3,ParochialVicar,BusMgr,Deacon,DRE,MinisterService,CRE,ParCouncilPres,PastoralAssoc,YouthMin,MusicMin,Other,Masses4,Convent,ConventAddress,ConventZip,ConventPhone,ConfessionTimes,Latitude,Longitude
1,Cathedral of St. Peter in Chains - Cincinnati,Eighth & Plum Sts.,Cincinnati,Ohio,45202,Hamilton,(513) 421-5354,info@stpeterinchainscathedral.org,http://www.stpeterinchainscathedral.org,Rev. Jan Schmidt,"Daily (M-F) 7:00 a.m., 11:30 a.m., 5:15 p.m., (Sat) 11:30 a.m.; Sat. vigil Mass, 4:30 p.m.; Sun. 8:30, 11 a.m., 6 p.m.; Holyday 5:15 eve; 7, 11:30 a.m., 5:15 p.m.",39.1039516,-84.5186914,Cathedral of St. Peter in Chains - Cincinnati,1840,,325 W. Eighth St.,Cincinnati,45202-1977,Eighth & Plum Sts.,Cincinnati,45202,Hamilton,"(513) 421-5354, Fax: (513) 241-9517",info@stpeterinchainscathedral.org,http://www.stpeterinchainscathedral.org,Rev. Jan Schmidt,Rev. Raymond E. Larger,,,,,,,,,Anthony DiCello (513) 421-2222,,"Daily (M-F) 7:00 a.m., 11:30 a.m., 5:15 p.m., (Sat) 11:30 a.m.; Sat. vigil Mass, 4:30 p.m.; Sun. 8:30, 11 a.m., 6 p.m.; Holyday 5:15 eve; 7, 11:30 a.m., 5:15 p.m.",,,,,"Mon.-Fri. after 7 a.m. Mass, noon-12:30 p.m., 4:30-5 p.m.; Sat. noon-3",39.1039516,-84.5186914
2,St. Adalbert - Dayton,1511 Valley St.,Dayton,Ohio,45404,Montgomery,(937) 228-8802,POND@OLRDayton.com,http://www.daytonxii.org,Rev. Anthony Cutcher,Sun. 8:30 a.m.,39.784432,-84.155691,St. Adalbert - Dayton,1903,,22 Notre Dame Ave.,"Dayton, OH",45404-1924,1511 Valley St.,Dayton,45404,Montgomery,(937) 228-8802,POND@OLRDayton.com,http://www.daytonxii.org,Rev. Anthony Cutcher,Rev. Ethan Moore,,,,,,,,,,,Sun. 8:30 a.m.,,,,,"First Sunday each month, 8 to 8:30 a.m.",39.784432,-84.155691
3,Church of the Resurrection - Cincinnati,1619 California Ave.,Cincinnati,Ohio,45237,Hamilton,(513) 242-0400,office@resurrectioncinci.org,http://www.resurrectioncinci.org,Rev. David Lemkuhl,"Sat. 6 p.m.; Sun. 8:30, 11 a.m.",39.1759511,-84.4698069,Church of the Resurrection - Cincinnati,2010,,,,,1619 California Ave.,Cincinnati,45237,Hamilton,(513) 242-0400,office@resurrectioncinci.org,http://www.resurrectioncinci.org,Rev. David Lemkuhl,,,Royce Winters,,,,,Deacon Royce Winters,,Deborah Shipps,,"Sat. 6 p.m.; Sun. 8:30, 11 a.m.",,,,,,39.1759511,-84.4698069
5,St. Albert the Great - Kettering,3033 Far Hills Ave.,Dayton,Ohio,45429,Montgomery,(937) 293-1191,parish@stalbertthegreat.net,http://www.stalbertthegreat.net,Rev. Christopher Worland,"Sat. 4:30 p.m.; Sun. 8, 9:30, 11 a.m.; Holyday 4:30 eve; 7, 10 a.m., noon, 6 p.m.",39.702954,-84.1707069,St. Albert the Great - Kettering,1939,,,,45429,3033 Far Hills Ave.,Dayton,45429,Montgomery,"(937) 293-1191, Fax: (937) 293-1848",parish@stalbertthegreat.net,http://www.stalbertthegreat.net,Rev. Christopher Worland,Rev. Patrick Welsh,Tom Hutchinson thutchinson@stalbertthegreat.net,,"JEAN CARR - (937) 298-2404, ext 249","PAULA SMITH (937) 298-1122, ext 216",,"Jim O&#39;Dell, (937) 298-9599",,"Karen Fitzharris, (937) 298-1122 x223",,,"Sat. 4:30 p.m.; Sun. 8, 9:30, 11 a.m.; Holyday 4:30 eve; 7, 10 a.m., noon, 6 p.m.",,,,,Fri. following noon Mass (exceptions: funeral or holy day); Sat. 3:30-4:15 p.m.,39.702954,-84.1707069
6,All Saints - Cincinnati,8939 Montgomery Rd.,Cincinnati,Ohio,45236-2129,Hamilton,(513) 792-4600,stremblay@allsaints.cc,http://www.allsaints.cc,"Rev. J. Dennis Jaspers, 792-4605, email: father@allsaints.cc","Sat. 4:30; Sun.7, 9, 11 a.m, 5:30 p.m.; Holyday 6:30, 9 a.m., 12:05, 7:30 p.m.",39.218429,-84.359047,All Saints - Cincinnati,1948,,,,,8939 Montgomery Rd.,Cincinnati,45236-2129,Hamilton,"(513) 792-4600, Fax: (513) 792-4730",stremblay@allsaints.cc,http://www.allsaints.cc,"Rev. J. Dennis Jaspers, 792-4605, email: father@allsaints.cc",Rev. Jerome Bishop,"Dir of Finance/Operations: Marianna Kuhn (513) 792-4602, mkuhn@allsaints.cc",,Director of Faith Formation: Virginia Rush (513) 792-4603 grush@allsaints.cc,,RICA Coordinator: Dottie Meyer (513) 792-4604 rmiller@allsaints.cc,,"Deacon Bob Leever, (513) 792-4606, bleever@allsaints.cc; Deacon Amado Lim, (513) 792-4609, mlim@all","Jeff Rosfeld (513) 314-1147, jrosfeld@gmail.com",Ron Miller (513) 792-4614 rmiller@allsaints.cc,"Dir. of Development: Micki Harrell, (513) 792-4613, mharrell@allsaints.cc","Sat. 4:30; Sun.7, 9, 11 a.m, 5:30 p.m.; Holyday 6:30, 9 a.m., 12:05, 7:30 p.m.",,,,,Sat. 3 p.m.,39.218429,-84.359047
7,St. Aloysius - Carthagena,6036 State Route 274,Celina,Ohio,45822,Mercer,"(419) 678-4118 (office), (419) 925-4776",tomhemm@hotmail.com,http://www.sthenrycluster.com,"Rev. William O&#39;Donnell, CPPS",Sun. 8:00 a.m.; Mon. 7:30 a.m.,40.4367025,-84.5697657,St. Aloysius - Carthagena,1865,,PO Box 350,St. Henry,45883,6036 State Route 274,Celina,45822,Mercer,"(419) 678-4118 (office), (419) 925-4776",tomhemm@hotmail.com,http://www.sthenrycluster.com,"Rev. William O&#39;Donnell, CPPS","Rev. James Smith, C.PP.S.",Sue Nietfeld 419-678-4118,"Deacon James Smith, C.PP.S; Deacon Randy Balster","Catherine Wennning, 419-678-3811",,,John Wuebker,,Marlene Staugle & Sandy Franzer,Mary Jo Schmiesing (419) 925-4883,,Sun. 8:00 a.m.; Mon. 7:30 a.m.,,,,,"Weekdays after the 7:30 a.m. Masses in St. Henry Cluster parishes; Thurs. before First Friday, 3 p.m. at St. Henry Church, St. Henry; Sat. 4:15 p.m. at St. Henry.",40.4367025,-84.5697657
8,St. Patrick Chapel of St. Angela Merici Parish,130 Stone Alley,Fayetteville,Ohio,45118,Brown,,,,Rev. Henry F. Albietz,"Sat. 5 p.m.; Sun. 11 a.m.; Mon. 8:30 a.m., Tues. 7 p.m. ; Thurs. 8:30 a.m. at Ursuline Convent in St. Martin",39.1859123,-83.9344854,St. Patrick Chapel of St. Angela Merici Parish,,,,,,130 Stone Alley,Fayetteville,45118,Brown,,,,Rev. Henry F. Albietz,,,,,,,,,,,,"Sat. 5 p.m.; Sun. 11 a.m.; Mon. 8:30 a.m., Tues. 7 p.m. ; Thurs. 8:30 a.m. at Ursuline Convent in St. Martin",,,,,Sat. 4-4:30 p.m.,39.1859123,-83.9344854
9,St. Aloysius - Shandon,3350 Chapel Rd.,Shandon,Ohio,45063,Butler,(513) 738-1014,npadgett_staloysius@fuse.net,http://www.stalshandon.org,Rev. James M. Wedig,"Sat. 5 p.m.; Sun. 8, 9:30 a.m.; Tues. 7 p.m., Weds. & Fri. 9:30 a.m.; Holyday, 7 p.m.",39.335122,-84.738051,St. Aloysius - Shandon,1867,,PO Box 95,Shandon,45063-0095,3350 Chapel Rd.,Shandon,45063,Butler,"(513) 738-1014, Fax: (513) 738-2084",npadgett_staloysius@fuse.net,http://www.stalshandon.org,Rev. James M. Wedig,,"Sally Nieman, Bookkeeper (513) 738-1014",,,,Ann Shackleford (513) 738-1014 x306,Stephanie O&#39;Connor (513) 737-9098,,,,,"Sat. 5 p.m.; Sun. 8, 9:30 a.m.; Tues. 7 p.m., Weds. & Fri. 9:30 a.m.; Holyday, 7 p.m.",,,,,Weds. morning after 9:30 a.m. Mass,39.335122,-84.738051
10,St. Aloysius Gonzaga - Cincinnati,4366 Bridgetown Rd.,Cincinnati,Ohio,45211-4497,Hamilton,(513) 574-4840,staloysius5@fuse.net,http://www.saintals.org,Rev. W. Michael Hay,"Sat. 4 p.m.; Sun. 9, 11:15 a.m.",39.157375,-84.624673,St. Aloysius Gonzaga - Cincinnati,1866,,,,,4366 Bridgetown Rd.,Cincinnati,45211-4497,Hamilton,"(513) 574-4840, Fax: (513) 574-4402",staloysius5@fuse.net,http://www.saintals.org,Rev. W. Michael Hay,"Rev. James C. Ackerman, S.J.",,,,,,Steve Gasparec,,,Michael Match,,"Sat. 4 p.m.; Sun. 9, 11:15 a.m.",,,,,Sat. 3-3:30 p.m.,39.157375,-84.624673
11,St. Aloysius on-the-Ohio - Cincinnati,134 Whipple St.,Cincinnati,Ohio,45233-1399,Hamilton,(513) 941-3445,tawagner@zoomtown.com,http://www.saoto.org,Rev. Richard E. Dressman,"Sat. 5 p.m.; Sun. 8:30, 10:30 a.m.; Holyday 9 a.m., 7:30 p.m.",39.105305,-84.683566,St. Aloysius on-the-Ohio - Cincinnati,1868,,,,,134 Whipple St.,Cincinnati,45233-1399,Hamilton,"(513) 941-3445, Fax: (513) 941-2257",tawagner@zoomtown.com,http://www.saoto.org,Rev. Richard E. Dressman,,Tim Gates (513) 941-3445,,,,,Rose Brauch (513) 941-3445,,,Music Dir.Mary Schneider (513) 941-4376,,"Sat. 5 p.m.; Sun. 8:30, 10:30 a.m.; Holyday 9 a.m., 7:30 p.m.",,,,,,39.105305,-84.683566
